,ko,target,log2FoldChange
21189,Ikzf1_Plate15,ENSMUSG00000026814,4.3205368141647105
21190,Ikzf1_Plate15,ENSMUSG00000026822,2.2984735453963903
21191,Ikzf1_Plate15,ENSMUSG00000026833,0.483322265633836
21192,Ikzf1_Plate15,ENSMUSG00000026835,3.43409442964805
21194,Ikzf1_Plate15,ENSMUSG00000026843,0.24097781963278198
21197,Ikzf1_Plate15,ENSMUSG00000026873,-0.418773443444705
21202,Ikzf1_Plate15,ENSMUSG00000026893,-0.39216583274115996
21207,Ikzf1_Plate15,ENSMUSG00000026928,0.206780109064508
21208,Ikzf1_Plate15,ENSMUSG00000026930,-0.34462948603167304
21209,Ikzf1_Plate15,ENSMUSG00000026932,0.32562123160189005
